,摘要,关键词,第一章,第二章,第三章,第四章,总词频,加权得分
动态接入网络,0,0,1,0,0,0,1,0.125
通信策略,0,0,1,0,0,0,1,0.125
信道感知误差,0,0,1,0,0,0,1,0.125
分布式动态接入网络,0,0,1,0,0,0,1,0.125
成功传输,0,0,1,0,0,0,1,0.125
向量测量单元,0,0,1,0,0,0,1,0.125
信噪比,0,0,1,0,0,0,1,0.125
相量测量单元,0,0,1,0,0,0,1,0.125
功率控制,0,0,1,0,0,0,1,0.125
分布式信道接入,0,0,1,0,0,0,1,0.125
hetnets,0,0,1,0,0,0,1,0.125
智能电网,0,0,1,0,0,0,1,0.125
公平性,0,0,1,0,0,0,1,0.125
信道访问时延,0,0,1,0,0,0,1,0.125
无线传输环境,0,0,1,0,0,0,1,0.125
iqra算法,0,0,1,0,0,0,1,0.125
智能,0,0,1,0,0,0,1,0.125
mac层资源,0,0,1,0,0,0,1,0.125
密集无线局域网,0,0,1,0,0,0,1,0.125
低延迟,0,0,1,0,0,0,1,0.125
反馈信息,0,0,1,0,0,0,1,0.125
自适应时分多址协议,0,0,1,0,0,0,1,0.125
流量,0,0,1,0,0,0,1,0.125
itrio,0,0,1,0,0,0,1,0.125
pad,0,0,1,0,0,0,1,0.125
传输冲突,0,0,5,3,0,0,8,1.0
传输权限,0,0,1,0,0,0,1,0.125
无线网络,0,0,1,0,0,0,1,0.125
信道反馈,0,0,1,0,0,0,1,0.125
自适应学习mac协议,0,0,1,0,0,0,1,0.125
保留机制,0,0,1,0,0,0,1,0.125
序列过程,0,0,1,0,0,0,1,0.125
预约,0,0,1,0,0,0,1,0.125
信道访问,0,0,1,0,0,0,1,0.125
单跳无线网络,0,0,1,0,0,0,1,0.125
无线信道保留协议,0,0,1,0,0,0,1,0.125
misras,0,0,1,0,0,0,1,0.125
能量利用效率,0,0,1,0,0,0,1,0.125
自适应算法,0,0,1,0,0,0,1,0.125
随机学习自动机,0,0,1,0,0,0,1,0.125
信息共享,0,0,1,0,0,0,1,0.125
网格路由器,0,0,1,0,0,0,1,0.125
协作学习自动机,0,0,1,0,0,0,1,0.125
分布式通道,0,0,1,0,0,0,1,0.125
计数器,0,0,1,0,0,0,1,0.125
vlaba,0,0,1,0,0,0,1,0.125
lavba,0,0,1,0,0,0,1,0.125
虚拟回退算法,0,0,1,0,0,0,1,0.125
动态适应性,0,0,1,0,0,0,1,0.125
随机特性,0,0,1,0,0,0,1,0.125
迭代学习过程环境,0,0,1,0,0,0,1,0.125
sara,0,0,1,0,0,0,1,0.125
负载能力,0,0,1,0,0,0,1,0.125
缓存状态,0,0,1,0,0,0,1,0.125
irsa,0,0,1,0,0,0,1,0.125
休眠时间,0,0,1,0,0,0,1,0.125
自适应休眠唤醒机制,0,0,1,0,0,0,1,0.125
自适应切换,0,0,1,0,0,0,1,0.125
somac,0,0,1,0,0,0,1,0.125
传输时延,0,0,1,0,0,0,1,0.125
奖励函数变量,0,0,1,0,0,0,1,0.125
分组传输率,0,0,1,0,0,0,1,0.125
成功传输量,0,0,1,0,0,0,1,0.125
封装,0,0,1,0,0,0,1,0.125
mac适配层,0,0,1,0,0,0,1,0.125
mac切换,0,0,1,0,0,0,1,0.125
q-leaming,0,0,1,0,0,0,1,0.125
fs-mac,0,0,1,0,0,0,1,0.125
fs-ma,0,0,1,0,0,0,1,0.125
容错同步mac协议,0,0,1,0,0,0,1,0.125
流量负载,0,0,1,0,0,0,1,0.125
csma/ca,0,0,1,0,0,0,1,0.125
q学习,0,0,1,0,0,0,1,0.125
休眠模式,0,0,1,0,0,0,1,0.125
相关节点,0,0,1,0,0,0,1,0.125
无线电收发机,0,0,1,0,0,0,1,0.125
阈值参数,0,0,1,0,0,0,1,0.125
奖励函数,0,0,1,0,0,0,1,0.125
无线电休眠,0,0,1,0,0,0,1,0.125
占空比,0,0,1,0,0,0,1,0.125
自适应调整节点,0,0,1,0,0,0,1,0.125
数据收集,1,0,3,1,2,0,7,2.225
信道时间,0,0,1,0,0,0,1,0.125
效率,0,0,1,0,0,0,1,0.125
感知数据,0,0,1,0,0,0,1,0.125
时分多址,0,0,1,0,0,0,1,0.125
ap-,0,0,1,0,0,0,1,0.125
集群,0,0,1,0,0,0,1,0.125
总能量消耗,0,0,1,0,0,0,1,0.125
av,0,0,1,0,0,0,1,0.125
误码率,0,0,1,0,0,0,1,0.125
握手技术,0,0,1,0,0,0,1,0.125
o-aloha,0,0,1,0,0,0,1,0.125
aloha,0,0,1,0,0,0,1,0.125
自适应机会主义,0,0,1,0,0,0,1,0.125
功率,0,0,1,2,0,0,3,0.375
接收,0,0,1,0,0,0,1,0.125
信标信号,0,0,1,0,0,0,1,0.125
发射功率,0,0,1,0,0,0,1,0.125
信标,0,0,1,0,0,0,1,0.125
失败包比率,0,0,1,0,0,0,1,0.125
传输间隔,0,0,1,0,0,0,1,0.125
优先级组数,0,0,1,0,0,0,1,0.125
速率,0,0,1,0,0,0,1,0.125
无人机通信,0,0,1,1,1,0,3,0.6125
pfsc,0,0,1,0,0,0,1,0.125
数据收集效率,0,0,1,0,2,0,3,0.85
外层,0,0,1,0,0,0,1,0.125
无线网络架构,0,0,1,0,0,0,1,0.125
时分多址技术,0,0,1,0,0,0,1,0.125
冲突,0,0,1,1,0,0,2,0.25
传输资源,0,0,1,0,0,0,1,0.125
分配,0,0,2,0,0,0,2,0.25
混合型,0,0,1,0,0,0,1,0.125
uwsnso,0,0,1,0,0,0,1,0.125
传输数据,0,0,1,0,0,0,1,0.125
无人机速度,0,0,1,0,0,0,1,0.125
多跳传输数据,0,0,1,0,0,0,1,0.125
辅助传感器网络,0,0,2,0,0,0,2,0.25
传输时间,0,0,1,0,0,0,1,0.125
循环多址接入,0,0,1,0,0,0,1,0.125
间隔发送数据,0,0,1,0,0,0,1,0.125
介质访问控制层,0,0,1,0,0,0,1,0.125
故障,0,0,1,0,0,0,1,0.125
波动,0,0,1,0,1,0,2,0.4875
multipleaccesschannel,0,0,1,0,0,0,1,0.125
高移动性,0,0,1,0,1,0,2,0.4875
高速通信系统,0,0,1,0,0,0,1,0.125
信道状态信息,0,0,1,0,0,0,1,0.125
信道特性,0,0,1,0,0,0,1,0.125
空对地通道,0,0,1,0,0,0,1,0.125
视距通信组件,0,0,1,0,0,0,1,0.125
自由空间传播模型,0,0,1,0,0,0,1,0.125
信道模型,0,0,1,0,0,0,1,0.125
地面节点内存,0,0,1,0,0,0,1,0.125
移动基站,0,0,1,0,0,0,1,0.125
地面基站,0,0,1,0,0,0,1,0.125
无人机群,1,0,3,3,0,0,7,1.75
地面设备,1,0,2,0,0,0,3,1.25
移动通信系统网络,0,0,1,0,0,0,1,0.125
视距空对地通道,0,0,1,0,0,0,1,0.125
机动性,0,0,1,0,0,0,1,0.125
无人机无线通信,0,0,1,0,0,0,1,0.125
倍道接入算法,0,0,1,0,0,0,1,0.125
属性信息,0,0,0,1,0,0,1,0.125
二维位置坐标,0,0,0,1,0,0,1,0.125
群移动模型,0,0,0,1,0,0,1,0.125
路由算法,0,0,0,1,0,0,1,0.125
二维空间,0,0,0,1,0,0,1,0.125
群体移动,0,0,0,1,1,0,2,0.4875
飞行速度,0,0,3,0,1,0,4,0.7375
快速移动无人机,2,0,2,0,0,0,4,2.25
节点密度,0,0,2,5,2,0,9,1.6
飞行自组织网络,0,0,3,1,0,0,4,0.5
信道接入机制,1,0,1,0,0,0,2,1.125
接触,1,0,1,0,1,0,3,1.4875
概率地图法,0,0,1,0,0,0,1,0.125
metriclear,0,0,1,0,0,0,1,0.125
移动传感器,0,0,1,0,0,0,1,0.125
成功率,1,0,1,4,0,0,6,1.625
转发成功率,0,0,1,4,0,0,5,0.625
转发成功率信息,0,0,1,0,0,0,1,0.125
加权移动平均算法,0,0,1,1,0,0,2,0.25
单跳时延,0,0,1,5,0,0,6,0.75
发包速率,0,0,1,1,0,0,2,0.25
路由性能,0,0,1,0,0,0,1,0.125
跳节点,0,0,1,0,0,0,1,0.125
fuzzydecisiontree,0,0,1,0,0,0,1,0.125
模糊决策树路由协议,1,0,1,0,0,0,2,1.125
无人机群路由协议,0,0,1,0,0,0,1,0.125
大规模无人机群,0,0,2,0,0,0,2,0.25
uwsns,0,0,2,0,0,0,2,0.25
网络性能,0,0,2,2,3,0,7,1.5875
分配型接入,0,0,1,0,0,0,1,0.125
竞争型接入,0,0,1,0,0,0,1,0.125
协议性能,0,0,1,1,0,0,2,0.25
同步,0,0,1,0,0,0,1,0.125
无冲突传输,0,0,1,0,0,0,1,0.125
传输时隙,0,0,1,0,0,0,1,0.125
同步性,0,0,1,0,0,0,1,0.125
拓扑动态,0,0,1,0,0,0,1,0.125
同步信息,0,0,1,0,0,0,1,0.125
无线信道接入算法,0,0,1,0,0,0,1,0.125
多跳网络,0,0,1,0,0,0,1,0.125
星型网络,0,0,1,0,0,0,1,0.125
高速移动,0,0,1,0,0,0,1,0.125
飞行基站,0,0,1,0,0,0,1,0.125
数据接收器,0,0,1,0,0,0,1,0.125
无人机辅助传感网,0,0,1,0,0,0,1,0.125
系统性能,0,0,1,0,0,0,1,0.125
sensornetwork,0,0,1,0,0,0,1,0.125
uav-aidedwireless,0,0,1,0,0,0,1,0.125
无人机辅助传感器网络,0,0,1,0,0,0,1,0.125
多跳传输,0,0,1,0,0,0,1,0.125
地面传感器,0,0,1,0,0,0,1,0.125
通信计数,0,0,1,0,0,0,1,0.125
电子,0,0,1,0,0,0,1,0.125
群体移动模型,0,0,1,1,1,0,3,0.6125
实体移动模型,0,0,1,0,0,0,1,0.125
flyingadhocnet,0,0,1,0,0,0,1,0.125
无人机编队飞行,0,0,1,0,0,0,1,0.125
传感网络,0,0,1,0,0,0,1,0.125
空间探索,0,0,1,0,0,0,1,0.125
地形,0,0,1,0,0,0,1,0.125
协同搜救,0,0,1,0,0,0,1,0.125
大规模无人机系统,0,0,1,0,0,0,1,0.125
模无人机网络,0,0,1,0,0,0,1,0.125
监控应用,0,0,1,0,0,0,1,0.125
传统无人机网络,0,0,1,0,0,0,1,0.125
地面机器人传感器节点,0,0,0,0,4,0,4,1.45
信道功率,0,0,0,0,1,0,1,0.3625
路径损耗模型,0,0,0,0,1,0,1,0.3625
自由空间,0,0,0,0,1,0,1,0.3625
时变信道,0,0,0,0,1,0,1,0.3625
视距通信链路,0,0,0,0,1,0,1,0.3625
通信链路,0,0,0,0,1,0,1,0.3625
时变距离,0,0,0,0,1,0,1,0.3625
轨迹,0,0,0,0,1,0,1,0.3625
水平面,0,0,0,0,1,0,1,0.3625
无人机投影,0,0,0,0,1,0,1,0.3625
地面建筑物,0,0,0,0,1,0,1,0.3625
高度,0,0,0,0,1,0,1,0.3625
地空信道,0,0,0,0,1,0,1,0.3625
三维笛卡尔坐标系,0,0,0,0,1,0,1,0.3625
地空信道模型,0,0,1,0,1,0,2,0.4875
发包时间,0,0,0,2,0,0,2,0.25
ojs,0,0,0,1,0,0,1,0.125
广播周期,0,0,0,1,0,0,1,0.125
清空时间,0,0,0,1,0,0,1,0.125
无人机自组网,0,0,1,3,0,0,4,0.5
邻居速度,0,0,0,1,0,0,1,0.125
更新时间,0,0,0,1,0,0,1,0.125
解析包信息,0,0,0,1,0,0,1,0.125
广播hello包,0,0,0,1,0,0,1,0.125
路由信息,0,0,0,1,0,0,1,0.125
连通节点,0,0,0,1,0,0,1,0.125
bs,0,0,0,1,0,0,1,0.125
hellob包,0,0,0,1,0,0,1,0.125
广播包id信息,0,0,0,1,0,0,1,0.125
hello包,0,0,0,1,0,0,1,0.125
加权指数平均窗口,0,0,0,1,0,0,1,0.125
广播发送时间,0,0,0,1,0,0,1,0.125
广播节点,0,0,0,1,0,0,1,0.125
广播hello包结构,0,0,0,1,0,0,1,0.125
邻居表信息,0,0,0,1,0,0,1,0.125
周期性广播,0,0,0,1,1,0,2,0.4875
信息反馈,0,0,0,1,0,0,1,0.125
单跳传输,0,0,0,1,0,0,1,0.125
ack,0,0,0,1,0,0,1,0.125
数据发送模块,0,0,0,1,0,0,1,0.125
加权移动平均法,0,0,0,2,0,0,2,0.25
逐跳广播,0,0,0,2,0,0,2,0.25
内存,0,0,0,1,0,0,1,0.125
模糊决策树模型,0,0,0,2,0,0,2,0.25
机器人群,0,0,0,0,2,0,2,0.725
剩余数据量,0,0,0,0,1,0,1,0.3625
位置信息,0,0,0,0,1,0,1,0.3625
受控,0,0,0,0,1,0,1,0.3625
覆盖,0,0,0,0,1,0,1,0.3625
快速移动性,0,0,0,0,1,0,1,0.3625
逻辑引导点,0,0,0,4,5,0,9,2.3125
移动模型,0,0,3,7,4,0,14,2.7
运动,0,0,0,2,2,0,4,0.975
群组,0,0,0,2,2,0,4,0.975
约束,0,0,0,2,2,0,4,0.975
参考点,0,0,0,1,1,0,2,0.4875
实体移动性模型,0,0,0,1,1,0,2,0.4875
加速度,0,0,0,1,1,0,2,0.4875
逻辑引导,0,0,0,1,1,0,2,0.4875
半径,0,0,0,1,2,0,3,0.85
随机值,0,0,0,1,1,0,2,0.4875
移动方向,0,0,0,1,1,0,2,0.4875
移动小组,0,0,0,1,1,0,2,0.4875
点组,0,0,0,1,0,0,1,0.125
组网通信,0,0,0,1,0,0,1,0.125
模拟无人机,0,0,0,1,1,0,2,0.4875
ns-3仿真,0,0,2,0,0,0,2,0.25
能量模型,0,0,2,0,0,0,2,0.25
网络系统模型,0,0,2,0,0,0,2,0.25
机器学习路由协议,0,0,2,1,0,0,3,0.375
移动机器人网络,0,0,2,0,0,0,2,0.25
ml算法,0,0,1,0,1,0,2,0.4875
图着色信道,0,0,1,0,1,0,2,0.4875
接入算法,1,0,1,0,2,0,4,1.85
lqgeo,0,0,1,1,0,0,2,0.25
路由转发,0,0,1,0,0,0,1,0.125
加权平均移动法,0,0,1,1,0,0,2,0.25
地空视距通信系统,0,0,1,0,0,0,1,0.125
移动机器人信道接入算法,0,0,1,0,0,0,1,0.125
rflqgeo,0,0,0,21,0,0,21,2.625
仿真时间,0,0,0,10,0,0,10,1.25
平均跳数,0,0,0,7,0,0,7,0.875
运动速度,0,0,0,1,0,0,1,0.125
边长移动模型,0,0,0,1,0,0,1,0.125
路由协议区域,0,0,0,1,0,0,1,0.125
仿真,0,0,0,2,1,0,3,0.6125
rf,0,0,0,3,0,0,3,0.375
无人机组网通信性能,0,0,0,1,0,0,1,0.125
仿真持续时间,0,0,0,1,0,0,1,0.125
ol,0,0,0,1,0,0,1,0.125
con,0,0,0,1,0,0,1,0.125
pakcetn,0,0,0,1,0,0,1,0.125
controloverhead,0,0,0,1,0,0,1,0.125
控制开销,0,0,0,6,0,0,6,0.75
总跳数,0,0,0,1,0,0,1,0.125
delay,0,0,0,1,0,0,1,0.125
put,0,0,0,1,0,0,1,0.125
场景,0,0,0,1,0,0,1,0.125
3维特性,0,0,0,1,0,0,1,0.125
无人机路由协议,0,0,0,1,0,0,1,0.125
变量,0,0,0,1,0,0,1,0.125
场景仿真,0,0,0,1,0,0,1,0.125
2维,0,0,0,1,0,0,1,0.125
2维平面,0,0,0,1,0,0,1,0.125
仿真场景,0,0,0,1,0,0,1,0.125
3维空间,0,0,0,1,0,0,1,0.125
参数指,0,0,0,1,0,0,1,0.125
机器学习地理路由协议,0,0,0,1,0,0,1,0.125
最大节点参数,0,0,0,1,0,0,1,0.125
对比协议,0,0,0,2,0,0,2,0.25
周期性规划,0,0,0,0,1,0,1,0.3625
概率路标,0,0,0,0,4,0,4,1.45
受控移动,0,0,0,0,1,0,1,0.3625
t+i时刻,0,0,0,0,1,0,1,0.3625
t时刻,0,0,0,0,1,0,1,0.3625
地面移动机器人节点,0,0,0,0,1,0,1,0.3625
预测吞吐量,0,0,0,0,7,0,7,2.5375
等价性约束,0,0,0,0,3,0,3,1.0875
样本,0,0,0,0,3,0,3,1.0875
非等价性约束,0,0,0,0,3,0,3,1.0875
地面机器人,0,0,0,0,5,0,5,1.8125
概率路标法,0,0,0,0,3,0,3,1.0875
接触距离,0,0,0,0,3,0,3,1.0875
地图节点,0,0,0,0,2,0,2,0.725
别距离,0,0,0,0,2,0,2,0.725
纵坐标,0,0,0,0,2,0,2,0.725
横坐标,0,0,0,0,2,0,2,0.725
实时吞吐量,0,0,0,0,2,0,2,0.725
最短路径度量,0,0,0,0,2,0,2,0.725
移动传感器节点,0,0,0,0,2,0,2,0.725
point,0,0,0,0,1,0,1,0.3625
最短路径,0,0,0,0,1,0,1,0.3625
espre,0,0,0,0,1,0,1,0.3625
gn信息,0,0,0,0,1,0,1,0.3625
地图节点信息,0,0,0,0,1,0,1,0.3625
waypointlisf,0,0,0,0,1,0,1,0.3625
在线路径,0,0,0,0,1,0,1,0.3625
最短路径算法,0,0,0,0,1,0,1,0.3625
路径规划算法,0,0,0,0,3,0,3,1.0875
运动轨迹,0,0,0,0,1,0,1,0.3625
吞吐量值,0,0,0,0,1,0,1,0.3625
权重系数,0,0,0,0,1,0,1,0.3625
损失函数,0,0,0,0,1,0,1,0.3625
入侵样本,0,0,0,0,1,0,1,0.3625
距离度量矩阵,0,0,0,0,1,0,1,0.3625
特征度量矩阵,0,0,0,0,1,0,1,0.3625
训练网络,0,0,0,0,1,0,1,0.3625
lmnn算法,0,0,0,0,1,0,1,0.3625
邻居属性,0,0,0,0,1,0,1,0.3625
矩阵,0,0,0,0,1,0,1,0.3625
分类空间,0,0,0,0,1,0,1,0.3625
矩阵m,0,0,0,0,1,0,1,0.3625
半正定对称矩阵,0,0,0,0,1,0,1,0.3625
异类,0,0,0,0,1,0,1,0.3625
马氏距离度量,0,0,0,0,1,0,1,0.3625
递归搜索,0,0,0,0,1,0,1,0.3625
t防easp,0,0,0,0,1,0,1,0.3625
置机器人,0,0,0,0,1,0,1,0.3625
密度,0,0,0,2,1,0,3,0.6125
目标机器人,0,0,0,0,1,0,1,0.3625
邻居节点密度,0,0,0,0,1,0,1,0.3625
a5-speeduav,0,0,0,0,1,0,1,0.3625
移动机器人通信,0,0,0,0,1,0,1,0.3625
speedrobot,0,0,0,0,1,0,1,0.3625
posy,0,0,0,0,1,0,1,0.3625
posx,0,0,0,0,1,0,1,0.3625
时刻吞吐量,0,0,0,0,1,0,1,0.3625
位置吞吐量,0,0,0,0,1,0,1,0.3625
ate,0,0,0,0,1,0,1,0.3625
ai-threasu,0,0,0,0,1,0,1,0.3625
speeduav,0,0,0,0,1,0,1,0.3625
speedgboi,0,0,0,0,1,0,1,0.3625
属性符号,0,0,0,0,1,0,1,0.3625
回传信息,0,0,0,0,1,0,1,0.3625
周期性广播包,0,0,0,0,1,0,1,0.3625
路径度量,0,0,0,0,1,0,1,0.3625
吞吐量度量,0,0,0,0,1,0,1,0.3625
目标预测值,0,0,0,0,1,0,1,0.3625
离线训练模型,0,0,0,0,1,0,1,0.3625
度量网络,0,0,0,0,1,0,1,0.3625
数据收集性能,0,0,0,0,1,0,1,0.3625
飞行规划,0,0,0,0,1,0,1,0.3625
最大吞吐量路径,0,0,0,0,1,0,1,0.3625
最大化吞吐量,0,0,0,0,1,0,1,0.3625
吞吐量信息,0,0,0,0,1,0,1,0.3625
路径边集,0,0,0,0,1,0,1,0.3625
局部,0,0,0,0,1,0,1,0.3625
节点集,0,0,0,0,1,0,1,0.3625
空间,0,0,0,0,1,0,1,0.3625
无向循环图,0,0,0,0,1,0,1,0.3625
短路径,0,0,0,0,1,0,1,0.3625
局部信息,0,0,0,0,1,0,1,0.3625
tsp算法,0,0,0,0,1,0,1,0.3625
局信息,0,0,0,0,1,0,1,0.3625
地面移动传感器节点,0,0,0,0,1,0,1,0.3625
概率路标路径,0,0,0,0,1,0,1,0.3625
传输效率,0,0,0,0,1,0,1,0.3625
相对距离,0,0,0,0,1,0,1,0.3625
cd,0,0,0,0,1,0,1,0.3625
静态,0,0,0,0,1,0,1,0.3625
被覆盖节点,0,0,0,0,1,0,1,0.3625
传输机会,0,0,0,0,1,0,1,0.3625
移动传感器网络,0,0,0,0,1,0,1,0.3625
静态传感器网络,0,0,0,0,1,0,1,0.3625
度童,0,0,0,0,1,0,1,0.3625
仿真区域,0,0,0,19,0,0,19,2.375
数据传输率,0,0,0,7,1,0,8,1.2375
开销,0,0,0,5,0,0,5,0.625
边长,0,0,0,4,0,0,4,0.5
ph,0,0,0,4,0,0,4,0.5
dt,0,0,0,4,0,0,4,0.5
广播寻路,0,0,0,3,0,0,3,0.375
d0a,0,0,0,3,0,0,3,0.375
rflgqeo,0,0,0,3,0,0,3,0.375
fdt训练,0,0,0,2,0,0,2,0.25
平均能耗,0,0,0,2,0,0,2,0.25
t点数量,0,0,0,2,0,0,2,0.25
节点数,0,0,0,2,0,0,2,0.25
候选节点集,0,0,0,2,0,0,2,0.25
传输率,0,0,0,1,0,0,1,0.125
实验节点,0,0,0,1,0,0,1,0.125
bt,0,0,0,1,0,0,1,0.125
rflq,0,0,0,1,0,0,1,0.125
数据包传输性能,0,0,0,1,0,0,1,0.125
控制包,0,0,0,1,0,0,1,0.125
拓扑路由,0,0,0,1,0,0,1,0.125
lmif,0,0,0,1,0,0,1,0.125
lqge,0,0,0,1,0,0,1,0.125
节点规模,0,0,0,2,1,0,3,0.6125
密度变化,0,0,0,1,0,0,1,0.125
吞吐,0,0,0,1,0,0,1,0.125
ofdt,0,0,0,1,0,0,1,0.125
频繁波动,0,0,0,1,0,0,1,0.125
在线优化,0,0,0,1,0,0,1,0.125
收敛速度,0,0,0,1,0,0,1,0.125
稳定性,0,0,0,1,0,0,1,0.125
无线通信,0,0,0,4,4,0,8,1.95
多径衰落信道模型,0,0,0,2,2,0,4,0.975
自由空间模型,0,0,0,2,2,0,4,0.975
能量消耗模型,0,0,0,2,2,0,4,0.975
比特数,0,0,0,2,2,0,4,0.975
阈值,0,0,0,1,1,0,2,0.4875
边界条件,0,0,0,1,1,0,2,0.4875
传播介质系数,0,0,0,1,1,0,2,0.4875
无线通信能量,0,0,0,1,1,0,2,0.4875
基础能量,0,0,0,1,1,0,2,0.4875
没比特数据包,0,0,0,1,1,0,2,0.4875
直线距离,0,0,0,1,1,0,2,0.4875
无线通信接收数据包,0,0,0,1,1,0,2,0.4875
比特,0,0,0,1,1,0,2,0.4875
比特数据包,0,0,0,1,1,0,2,0.4875
接收机电路,0,0,0,1,1,0,2,0.4875
接收节点,0,0,0,2,1,0,3,0.6125
功率放大器,0,0,0,1,1,0,2,0.4875
节点传输距离,0,0,0,1,1,0,2,0.4875
发送节点,0,0,0,5,1,0,6,0.9875
接收数据包,0,0,0,1,1,0,2,0.4875
自组网通信,0,0,0,1,1,0,2,0.4875
能耗模型,0,0,0,1,1,0,2,0.4875
空中无人机,0,0,0,0,1,0,1,0.3625
发包数量,0,0,0,0,3,0,3,1.0875
传输成功率性能,0,0,0,0,2,0,2,0.725
能耗性能,0,0,0,0,1,0,1,0.3625
连通性,0,0,0,0,1,0,1,0.3625
法失效,0,0,0,0,1,0,1,0.3625
发包,0,0,0,1,1,0,2,0.4875
算法性能,0,0,0,0,1,0,1,0.3625
飞行,0,0,0,0,1,0,1,0.3625
丢包率,0,0,0,1,1,0,2,0.4875
图着色理论,0,0,0,0,1,0,1,0.3625
调度分配,0,0,0,0,1,0,1,0.3625
地面传感器信息,0,0,0,0,1,0,1,0.3625
ttl,0,0,0,3,0,0,3,0.375
加权移动平均,0,0,0,3,0,0,3,0.375
wmax,0,0,0,2,0,0,2,0.25
候选转发节点,0,0,0,2,0,0,2,0.25
传输转发,0,0,0,2,0,0,2,0.25
接收时间,0,0,0,2,0,0,2,0.25
单跳转发,0,0,0,2,0,0,2,0.25
权重,0,0,0,2,0,0,2,0.25
wij,0,0,0,1,0,0,1,0.125
最优转发节点,0,0,0,1,0,0,1,0.125
table,0,0,0,1,0,0,1,0.125
加权移动平均表,0,0,0,1,0,0,1,0.125
预测传输,0,0,0,1,0,0,1,0.125
预期跳数,0,0,0,1,0,0,1,0.125
发节点,0,0,0,1,0,0,1,0.125
成功率信息,0,0,0,1,0,0,1,0.125
加权移动,0,0,0,1,0,0,1,0.125
反馈,0,0,0,1,0,0,1,0.125
ij,0,0,0,1,0,0,1,0.125
可调权重系数,0,0,0,1,0,0,1,0.125
加权平均移动,0,0,0,1,0,0,1,0.125
传输单跳时延,0,0,0,1,0,0,1,0.125
单跳传输时延,0,0,0,1,0,0,1,0.125
回退避让,0,0,0,1,0,0,1,0.125
数据包传输延迟,0,0,0,1,0,0,1,0.125
竞争型接入方,0,0,0,1,0,0,1,0.125
底层mac,0,0,0,1,0,0,1,0.125
等待时间,0,0,0,1,0,0,1,0.125
delayi,0,0,0,1,0,0,1,0.125
发送时间,0,0,0,1,0,0,1,0.125
接收时间戳信息,0,0,0,1,0,0,1,0.125
反馈ack包,0,0,0,1,0,0,1,0.125
ack反馈机,0,0,0,1,0,0,1,0.125
timetolive,0,0,0,1,0,0,1,0.125
历史信息数据,0,0,0,1,0,0,1,0.125
历史信息样本,0,0,0,1,0,0,1,0.125
均值,0,0,0,1,0,0,1,0.125
低时延,0,0,0,1,0,0,1,0.125
平均端到端时延,0,0,0,1,0,0,1,0.125
邻居参数,0,0,0,1,0,0,1,0.125
无人机节点内存,0,0,0,1,0,0,1,0.125
离线训,0,0,0,1,0,0,1,0.125
可信度,0,0,0,1,0,0,1,0.125
端到端信息信息,0,0,0,1,0,0,1,0.125
跳数更新时间,0,0,0,1,0,0,1,0.125
无人机群网络,0,0,0,1,0,0,1,0.125
机器学习信道接入,0,0,0,0,1,0,1,0.3625
多跳信息,0,0,0,0,2,0,2,0.725
无效飞行时间,0,0,0,0,1,0,1,0.3625
固定轨迹飞行,0,0,0,0,1,0,1,0.3625
连接,0,0,0,0,1,0,1,0.3625
覆盖率,0,0,0,0,1,0,1,0.3625
网节点信息,0,0,0,0,1,0,1,0.3625
机动,0,0,0,0,1,0,1,0.3625
数据收集吞吐量,0,0,0,0,1,0,1,0.3625
mlo,0,0,0,0,1,0,1,0.3625
度量学习信道接入算法,0,0,0,0,1,0,1,0.3625
移动机器人群,0,1,0,0,0,0,1,2.0
移动机器人组网,2,0,0,0,0,0,2,2.0
度量学习信道,1,0,0,0,0,0,1,1.0
度量学,1,0,0,0,0,0,1,1.0
邻居集,1,0,0,0,0,0,1,1.0
成功率性能,1,0,0,0,0,0,1,1.0
移动机器人技术,1,0,0,0,0,0,1,1.0
无线通信质量,1,0,0,0,0,0,1,1.0
无线通信性能,1,0,0,0,0,0,1,1.0
