,摘要,关键词,第一章,第二章,第三章,第四章,总词频,加权得分
经典力学,0,0,1,0,0,0,1,0.125
庞加莱几何法,0,0,1,0,0,0,1,0.125
moser,0,0,1,0,0,0,1,0.125
amofd,0,0,1,0,0,0,1,0.125
ov,0,0,1,0,0,0,1,0.125
birkhoff,0,0,1,0,0,0,1,0.125
激光,0,0,1,0,0,0,1,0.125
锁相环,0,0,1,0,0,0,1,0.125
雷达,0,0,1,0,0,0,1,0.125
无线电,0,0,1,0,0,0,1,0.125
长期预测,0,0,1,0,0,0,1,0.125
非周期性行为,0,0,1,0,0,0,1,0.125
确定性系统,0,0,1,0,0,0,1,0.125
天体力学,0,0,1,0,0,0,1,0.125
动力学学,0,0,1,0,0,0,1,0.125
太阳系,0,0,1,0,0,0,1,0.125
时刻,0,0,1,0,0,0,1,0.125
三体运动,0,0,1,0,0,0,1,0.125
数学,0,0,1,0,0,0,1,0.125
平方反比定律,0,0,1,0,0,0,1,0.125
引力,0,0,1,0,0,0,1,0.125
太阳,0,0,1,0,0,0,1,0.125
地球,0,0,1,0,0,0,1,0.125
开普勒定律,0,0,1,0,0,0,1,0.125
行星运动,0,0,1,0,0,0,1,0.125
万有引力,0,0,1,0,0,0,1,0.125
运动定律,0,0,1,0,0,0,1,0.125
交叉学科,0,0,1,0,0,0,1,0.125
能源,0,0,1,0,0,0,1,0.125
生物,0,0,1,0,0,0,1,0.125
航空航天,0,0,1,0,0,0,1,0.125
基础理论,0,0,1,0,0,0,1,0.125
koopman算符技术,0,0,2,0,0,0,2,0.25
自动控制,0,0,1,0,0,0,1,0.125
病变,0,0,1,0,0,0,1,0.125
计算资源,0,0,1,1,0,0,2,0.25
神经网络,0,0,1,0,0,0,1,0.125
控制,0,0,1,0,0,0,1,0.125
操作系统,0,0,1,0,0,0,1,0.125
数据分析技术,0,0,1,0,0,0,1,0.125
koopmam算符理论,0,0,1,0,0,0,1,0.125
近似,0,0,1,1,0,0,2,0.25
不变子空间,0,0,1,0,1,0,2,0.4875
时间成本,0,0,1,0,0,0,1,0.125
工程,0,0,1,0,0,0,1,0.125
不变结构,1,0,2,0,0,0,3,1.25
工具,0,0,1,0,0,0,1,0.125
非线性特征,1,0,1,0,0,0,2,1.125
本征,0,0,1,4,0,0,5,0.625
相空间结构,0,0,1,0,0,0,1,0.125
动力学方程,0,0,1,0,0,0,1,0.125
高维,0,0,1,1,0,0,2,0.25
复杂系统,2,0,1,0,0,0,3,2.125
定性分析,0,0,1,0,0,0,1,0.125
定量,0,0,1,0,0,0,1,0.125
高维复杂系统,0,0,1,0,0,0,1,0.125
动力系统理论,0,0,1,0,0,0,1,0.125
非线性耦合振子,0,0,3,0,1,0,4,0.7375
二自由度耦合振子,0,0,2,0,1,0,3,0.6125
三自由度耦合振子,0,0,1,0,2,0,3,0.85
幅值,1,0,1,0,10,1,13,5.1125
模式,1,0,1,0,0,0,2,1.125
kmd算法,0,0,1,0,0,0,1,0.125
koopman频谱,0,0,1,0,0,0,1,0.125
动力学模式,0,0,1,1,0,0,2,0.25
复杂动力学,0,0,0,1,0,0,1,0.125
注意力,0,0,0,1,0,0,1,0.125
系统动力学,0,0,0,2,1,0,3,0.6125
线性演化,0,0,0,1,0,0,1,0.125
非线性演化,0,0,0,1,0,0,1,0.125
相空间状态变量,0,0,0,1,0,0,1,0.125
映射,0,0,0,1,0,0,1,0.125
算符,0,0,0,3,0,0,3,0.375
函数空间口,0,0,0,1,0,0,1,0.125
本征坐标,0,0,0,2,0,0,2,0.25
乘法法则,0,0,0,1,0,0,1,0.125
离散时间系统,0,0,0,1,0,0,1,0.125
线性方程组,0,0,0,1,0,0,1,0.125
遍历成分,0,0,0,1,0,0,1,0.125
oopman算符,0,0,0,1,0,0,1,0.125
模值,0,0,0,3,1,0,4,0.7375
哈密顿循环理论,0,0,0,1,0,0,1,0.125
耦合非线性振子,0,0,0,1,0,0,1,0.125
上口乳,0,0,0,1,0,0,1,0.125
复平面,0,0,0,1,0,0,1,0.125
酉算子,0,0,0,1,0,0,1,0.125
遍历分量,0,0,0,1,0,0,1,0.125
不变测度,0,0,0,1,0,0,1,0.125
暂态动力学,0,0,0,1,0,0,1,0.125
衰减,0,0,0,1,0,0,1,0.125
koopmaii模式,0,0,0,1,0,0,1,0.125
谱投影,0,0,0,1,0,0,1,0.125
演化,0,0,0,1,1,0,2,0.4875
ko,0,0,0,1,0,0,1,0.125
迭代次数,0,0,0,1,0,0,1,0.125
截断级数,0,0,0,1,0,0,1,0.125
频率振动,0,0,0,1,0,0,1,0.125
m相空间,0,0,0,1,0,0,1,0.125
d维映射,0,0,0,1,0,0,1,0.125
本征向量,0,0,0,7,0,0,7,0.875
数据点,0,0,0,2,0,0,2,0.25
测量误差,0,0,0,1,0,0,1,0.125
噪声,0,0,0,1,0,0,1,0.125
ritz向量,0,0,0,1,0,0,1,0.125
ritz值,0,0,0,1,0,0,1,0.125
对角元素,0,0,0,1,0,0,1,0.125
对角线,0,0,0,2,0,0,2,0.25
对角矩阵,0,0,0,1,1,0,2,0.4875
范德蒙矩阵,0,0,0,1,0,0,1,0.125
矩阵对角化,0,0,0,1,3,0,4,1.2125
友阵,0,0,0,1,0,0,1,0.125
向量,0,0,0,2,0,0,2,0.25
krylov子空间,0,0,0,1,0,0,1,0.125
数据矩,0,0,0,1,0,0,1,0.125
线性近似,0,0,0,1,0,0,1,0.125
相空间轨道,0,0,0,1,0,0,1,0.125
线性矩阵,0,0,0,1,0,0,1,0.125
无限维算符,0,0,0,1,0,0,1,0.125
amoldi,0,0,0,1,0,0,1,0.125
连续时间序列数据,0,0,0,1,0,0,1,0.125
rnoldi算法,0,0,0,1,0,0,1,0.125
svd分解,0,0,0,5,0,0,5,0.625
特征向量,0,0,0,11,0,0,11,1.375
特征向量枢,0,0,0,2,0,0,2,0.25
特征,0,0,0,1,0,0,1,0.125
原始空间力,0,0,0,1,0,0,1,0.125
矩阵区,0,0,0,1,0,0,1,0.125
定义矩阵,0,0,0,2,0,0,2,0.25
时间结构,0,0,0,1,0,0,1,0.125
正交矩阵,0,0,0,2,0,0,2,0.25
快照,0,0,0,1,0,0,1,0.125
冗余,0,0,0,2,0,0,2,0.25
数据矩阵,0,0,0,9,0,0,9,1.125
dmd模式,0,0,0,12,0,0,12,1.5
抽样间隔,0,0,0,1,0,0,1,0.125
时间序列,0,0,0,5,3,0,8,1.7125
zke向量次,0,0,0,1,0,0,1,0.125
连续数据向量,0,0,0,1,0,0,1,0.125
数值稳定性,0,0,0,1,0,0,1,0.125
arnoldi算法,0,0,0,1,0,0,1,0.125
谱画,0,0,0,1,0,0,1,0.125
列空间,0,0,0,7,0,0,7,0.875
零空间,0,0,0,2,0,0,2,0.25
时间演化轨道,0,0,0,1,0,0,1,0.125
exactdmd模,0,0,0,1,0,0,1,0.125
左奇异向量,0,0,0,1,0,0,1,0.125
邮厂,0,0,0,1,0,0,1,0.125
原始空间,0,0,0,1,0,0,1,0.125
动力学分解,0,0,0,1,0,0,1,0.125
逆矩阵,0,0,0,1,0,0,1,0.125
定义算符,0,0,0,1,0,0,1,0.125
序列顺序,0,0,0,1,0,0,1,0.125
工加,0,0,0,1,0,0,1,0.125
当冲,0,0,0,1,0,0,1,0.125
qfl,0,0,0,1,0,0,1,0.125
数据向量,0,0,0,1,0,0,1,0.125
标准dmd算法,0,0,0,1,0,0,1,0.125
满秩,0,0,0,1,0,0,1,0.125
数学基础,0,0,0,1,0,0,1,0.125
koopman分析,0,0,0,1,0,0,1,0.125
exactdmd,0,0,0,1,0,0,1,0.125
投影dmd模式,0,0,0,1,0,0,1,0.125
pman,0,0,0,1,0,0,1,0.125
cjk,0,0,0,1,0,0,1,0.125
dmd特征值,0,0,0,1,0,0,1,0.125
分解,0,0,0,1,0,0,1,0.125
近似系统,0,0,0,1,0,0,1,0.125
观测量,0,0,0,1,0,0,1,0.125
算子,0,0,0,1,0,0,1,0.125
无穷维,0,0,0,1,0,0,1,0.125
模态分解,0,0,0,1,0,0,1,0.125
koopman谱分析,0,0,0,2,0,0,2,0.25
4dmd,0,0,0,1,0,0,1,0.125
amoldi算法,0,0,0,2,0,0,2,0.25
增长速率,1,0,0,1,0,0,2,1.125
4dmd算法,0,0,0,1,0,0,1,0.125
奇异值,0,0,0,6,0,0,6,0.75
bifurcation,0,0,0,1,0,0,1,0.125
延时嵌入法,0,0,0,1,0,0,1,0.125
哈密顿方程,0,0,0,1,1,0,2,0.4875
不用轨道,0,0,0,1,0,0,1,0.125
anrnj,0,0,0,1,0,0,1,0.125
ttfcian2,0,0,0,1,0,0,1,0.125
离散点,0,0,0,1,0,0,1,0.125
时俗刀,0,0,0,1,0,0,1,0.125
延时嵌入,0,0,0,1,0,0,1,0.125
子流形,0,0,0,1,0,0,1,0.125
子空间,0,0,0,1,0,0,1,0.125
傅里叶基,0,0,0,1,0,0,1,0.125
多项式基,0,0,0,1,0,0,1,0.125
高斯基,0,0,0,1,0,0,1,0.125
边界,0,0,0,1,0,0,1,0.125
wi,0,0,0,1,0,0,1,0.125
kxn维矩阵,0,0,0,1,0,0,1,0.125
丢失,0,0,0,1,0,0,1,0.125
奇异向量,0,0,0,1,0,0,1,0.125
主对角线,0,0,0,1,0,0,1,0.125
正交,0,0,0,1,0,0,1,0.125
截断数,0,0,0,1,0,0,1,0.125
取值,0,0,0,1,1,0,2,0.4875
离散值,0,0,0,1,0,0,1,0.125
频谱,0,0,0,1,2,0,3,0.85
oopman,0,0,0,1,0,0,1,0.125
5k,0,0,0,1,0,0,1,0.125
弹性系数,0,0,0,0,2,0,2,0.725
弹簧,0,0,0,0,2,0,2,0.725
振子,0,0,0,0,1,0,1,0.3625
非线性耦合振子系统,0,0,0,0,1,1,2,0.725
哈密顿量,0,0,0,0,3,0,3,1.0875
非线性强度,0,0,0,0,1,0,1,0.3625
立方次非线性刚度,0,0,0,0,1,0,1,0.3625
庞加莱截面,1,0,0,0,28,1,30,11.5125
轨道曲面,0,0,0,0,1,0,1,0.3625
横截面,0,0,0,0,1,0,1,0.3625
哈密顿流,0,0,0,0,1,0,1,0.3625
平面,0,0,0,0,1,0,1,0.3625
表面,0,0,0,0,1,0,1,0.3625
不含时系统,0,0,0,0,1,0,1,0.3625
岛链,0,0,0,0,11,0,11,3.9875
周期点,0,0,0,0,4,0,4,1.45
椭圆轨道,0,0,0,0,2,0,2,0.725
非共振环,0,0,0,0,2,0,2,0.725
共振环,0,0,0,0,2,0,2,0.725
准周期轨道,0,0,0,0,2,0,2,0.725
同心环,0,0,0,0,2,0,2,0.725
chaos,0,0,0,0,1,0,1,0.3625
不变对象,0,0,0,0,2,2,4,1.45
动力学信息,0,0,0,0,1,0,1,0.3625
双曲轨道,0,0,0,0,1,0,1,0.3625
倍周期分岔,0,0,0,0,1,0,1,0.3625
次级链,0,0,0,0,1,0,1,0.3625
典型轨道,0,0,0,0,2,0,2,0.725
耦合振子运动,0,0,0,0,1,0,1,0.3625
庞加莱截面映射图,0,0,0,0,1,0,1,0.3625
移动间隔,0,0,0,0,6,0,6,2.175
环碰撞,0,0,0,0,1,0,1,0.3625
轨道5,0,0,0,0,2,0,2,0.725
马蹄型混沌,0,0,0,0,1,0,1,0.3625
测度,0,0,0,0,1,0,1,0.3625
不稳定流形,0,0,0,0,1,0,1,0.3625
稳定流形,0,0,0,0,1,0,1,0.3625
双曲不动点,0,0,0,0,1,0,1,0.3625
周期1,0,0,0,0,1,0,1,0.3625
轨道2,0,0,0,0,2,0,2,0.725
闭合轨道,0,0,0,0,1,0,1,0.3625
椭圆点,0,0,0,0,1,0,1,0.3625
双曲周期轨道,0,0,0,0,1,0,1,0.3625
椭圆,0,0,0,0,1,0,1,0.3625
kam理论,0,0,0,0,1,0,1,0.3625
叉形分岔,0,0,0,0,1,0,1,0.3625
无理数,0,0,0,0,3,0,3,1.0875
有理数,0,0,0,0,5,0,5,1.8125
准周期运动,0,0,0,0,1,0,1,0.3625
卷绕数,0,0,0,0,7,0,7,2.5375
共振环面,0,0,0,0,1,0,1,0.3625
2维环面,0,0,0,0,1,0,1,0.3625
耦合振子系统,0,0,0,0,14,1,15,5.4375
可积,0,0,0,0,1,0,1,0.3625
庞加莱截面图,0,0,0,0,1,0,1,0.3625
雅可比矩阵,0,0,0,0,6,0,6,2.175
拉夫逊法,0,0,0,0,2,0,2,0.725
牛顿-,0,0,0,0,2,0,2,0.725
指数,0,0,0,0,1,0,1,0.3625
近似解,0,0,0,0,1,0,1,0.3625
稳定性矩阵,0,0,0,0,1,0,1,0.3625
无穷小向量,0,0,0,0,1,0,1,0.3625
微小邻域,0,0,0,0,1,0,1,0.3625
演化过程,0,0,0,0,1,0,1,0.3625
约束条件,0,0,0,0,1,0,1,0.3625
法向量,0,0,0,0,1,0,1,0.3625
时间平移不变性,0,0,0,0,1,0,1,0.3625
方程文,0,0,0,0,1,0,1,0.3625
差值,0,0,0,0,1,0,1,0.3625
本征频率,0,0,0,0,1,0,1,0.3625
保守系统,0,0,0,0,1,0,1,0.3625
调和函数,0,0,0,0,1,0,1,0.3625
抽样时间间隔,0,0,0,0,6,0,6,2.175
演化值,0,0,0,0,6,0,6,2.175
变量石,0,0,0,0,1,0,1,0.3625
对称性,0,0,0,0,1,0,1,0.3625
结构,0,0,0,0,2,0,2,0.725
固有频率,0,0,0,0,1,0,1,0.3625
对角化,0,0,0,0,1,0,1,0.3625
线性转换矩阵,0,0,0,0,1,0,1,0.3625
koopman频率,0,0,0,0,14,0,14,5.075
dft,0,0,0,0,6,0,6,2.175
对轨道,0,0,0,0,3,0,3,1.0875
基频,0,0,0,0,3,0,3,1.0875
非周期轨道,0,0,0,0,2,0,2,0.725
准周期,0,0,0,0,2,0,2,0.725
特征频率,0,0,0,0,1,0,1,0.3625
非周期,0,0,0,0,1,0,1,0.3625
kam曲线,0,0,0,0,1,0,1,0.3625
延展,0,0,0,0,1,0,1,0.3625
横坐标,0,0,0,0,1,0,1,0.3625
纵坐标,0,0,0,0,1,0,1,0.3625
点工抽,0,0,0,0,1,0,1,0.3625
红线,0,0,0,0,1,0,1,0.3625
qpnl,0,0,0,0,1,0,1,0.3625
振子系统,0,0,0,0,1,1,2,0.725
相关函数空间,0,0,0,0,1,0,1,0.3625
频谱泄露,0,0,0,0,1,0,1,0.3625
长度,0,0,0,0,1,0,1,0.3625
采样频率,0,0,0,0,1,0,1,0.3625
频谱能量,0,0,0,0,1,0,1,0.3625
dft频率,0,0,0,0,1,0,1,0.3625
离散傅里叶变换,0,0,0,0,1,0,1,0.3625
koopman模式幅值,0,0,0,0,1,0,1,0.3625
条轨道,0,0,0,0,1,0,1,0.3625
m-w2,0,0,0,0,1,0,1,0.3625
关系量,0,0,0,0,1,0,1,0.3625
闭合曲线,0,0,0,0,3,0,3,1.0875
公因子,0,0,0,0,1,0,1,0.3625
整数,0,0,0,0,1,1,2,0.725
ror,0,0,0,0,1,0,1,0.3625
平均转动次数,0,0,0,0,1,0,1,0.3625
庞加莱映射图,0,0,0,0,8,0,8,2.9
变化曲线,0,0,0,0,11,0,11,3.9875
波包,0,0,0,0,6,0,6,2.175
频率曲线,0,0,0,0,7,0,7,2.5375
叉型分岔,0,0,0,0,3,0,3,1.0875
虚线,0,0,0,0,5,0,5,1.8125
直线运动,0,0,0,0,5,0,5,1.8125
庞加莱映截面映射,0,0,0,0,2,0,2,0.725
坐标轴,0,0,0,0,2,0,2,0.725
koopman模,0,0,0,0,4,0,4,1.45
常数,0,0,0,0,4,0,4,1.45
直线,2,0,0,0,6,1,9,4.5375
波形,0,0,0,0,1,0,1,0.3625
频率关系,0,0,0,0,4,0,4,1.45
地方曲线,0,0,0,0,1,0,1,0.3625
频率关,0,0,0,0,1,0,1,0.3625
模式曲线突变点,0,0,0,0,1,0,1,0.3625
kam环,0,0,0,0,1,0,1,0.3625
oap2c6,0,0,0,0,1,0,1,0.3625
尖点,0,0,0,0,3,0,3,1.0875
模式幅值,0,0,0,0,1,0,1,0.3625
上下不动点,0,0,0,0,1,0,1,0.3625
间隔,0,0,0,0,2,0,2,0.725
自由度耦合振子系统,0,0,0,0,1,0,1,0.3625
二自由度,0,0,0,0,4,2,6,2.175
三自由度,0,0,0,0,3,1,4,1.45
不变环面,0,0,0,0,3,0,3,1.0875
坐标系,0,0,0,0,2,0,2,0.725
模式变化曲线,0,0,0,0,2,0,2,0.725
不变环,0,0,0,0,1,0,1,0.3625
轨道特征,1,0,0,0,1,0,2,1.3625
高维空间,0,0,0,0,1,0,1,0.3625
相空间维度,0,0,0,0,1,0,1,0.3625
耦合振子系统轨道,0,0,0,0,1,0,1,0.3625
庞加莱截面分坐标轴,0,0,0,0,1,0,1,0.3625
庞加莱映截面映射图,0,0,0,0,1,0,1,0.3625
坐标分,0,0,0,0,1,0,1,0.3625
kam,0,0,0,0,1,0,1,0.3625
加莱映截面映射图,0,0,0,0,1,0,1,0.3625
物体块,0,0,0,0,1,0,1,0.3625
小变化曲线,0,0,0,0,1,0,1,0.3625
闭合曲面,0,0,0,0,1,0,1,0.3625
取变量,0,0,0,0,1,0,1,0.3625
速度变量,0,0,0,0,1,0,1,0.3625
位移变量,0,0,0,0,1,0,1,0.3625
xnx2,0,0,0,0,1,0,1,0.3625
大小,0,0,0,0,1,0,1,0.3625
三自由度耦合振子系统,0,0,0,0,2,0,2,0.725
二自由度耦合振子系统,1,0,0,0,1,0,2,1.3625
单条轨道,1,0,0,0,1,0,2,1.3625
二自由度非线性耦合振子,0,0,0,0,1,0,1,0.3625
线性耦合振子系统,0,0,0,0,1,0,1,0.3625
模式投影,0,0,0,0,0,2,2,0.725
跳变区域,0,0,0,0,0,1,1,0.3625
坐标曲线,0,0,0,0,0,1,1,0.3625
相空间动力学性质,1,0,0,0,0,1,2,1.3625
有限维近似,0,0,0,0,0,1,1,0.3625
hankel-dmd算法,0,0,0,0,0,1,1,0.3625
哈密顿算符,0,0,0,0,0,1,1,0.3625
哈密顿力学,0,0,0,0,2,0,2,0.725
dhdt,0,0,0,0,1,0,1,0.3625
dq,0,0,0,0,1,0,1,0.3625
势能,0,0,0,0,1,0,1,0.3625
动能,0,0,0,0,1,0,1,0.3625
量子力学网,0,0,0,0,1,0,1,0.3625
热力学,0,0,0,0,1,0,1,0.3625
拉格朗日力学,0,0,0,0,1,0,1,0.3625
Koopman算符,0,1,0,0,0,0,1,2.0
谱分析,0,1,0,0,0,0,1,2.0
模式提取,0,1,0,0,0,0,1,2.0
Koopman模式,0,1,0,0,0,0,1,2.0
系统演化,1,0,0,0,0,0,1,1.0
定性变化,1,0,0,0,0,0,1,1.0
koopman模式分解算法,1,0,0,0,0,0,1,1.0
基本频率信息,1,0,0,0,0,0,1,1.0
三自由度耦合振子模型,1,0,0,0,0,0,1,1.0
高维相空间,1,0,0,0,0,0,1,1.0
定量分,1,0,0,0,0,0,1,1.0
动力学特性,1,0,0,0,0,0,1,1.0
提取,1,0,0,0,0,0,1,1.0
降维,1,0,0,0,0,0,1,1.0
坐标变换,1,0,0,0,0,0,1,1.0
数据采集,1,0,0,0,0,0,1,1.0
统计性质,1,0,0,0,0,0,1,1.0
应用动力学,1,0,0,0,0,0,1,1.0
balancedp,1,0,0,0,0,0,1,1.0
线性特性,1,0,0,0,0,0,1,1.0
非线性技术,1,0,0,0,0,0,1,1.0
等距离映射,1,0,0,0,0,0,1,1.0
扩散映射,1,0,0,0,0,0,1,1.0
高维非线性系统,1,0,0,0,0,0,1,1.0
全局尺度,1,0,0,0,0,0,1,1.0
相空间不变结构,1,0,0,0,0,0,1,1.0
统计,1,0,0,0,0,0,1,1.0
